system:index,FID_1,FID_2,GRID_CODE,POINTID,RASTERVALU,Shape_Area,Shape_Leng,co2_value,cover_norm,density_norm,height_norm,lc_10,lc_20,lc_30,lc_40,lc_50,lc_60,ntl_norm,population_norm,距离,.geo
0000000000000000101a,188,8070,586.20568848,8071,586.205688477,6.94444444367E-5,0.0333333333315,586.205688477,0.029293701722562283,0.010050840715256703,0.02,0.9743589743589742,0.0,0.0,0.0,0.02564102564102564,0.0,0.07259918139012041,0.029239995997535777,0.00416666666649,"{""type"":""Polygon"",""coordinates"":[[[113.26777964237908,22.958332837849213],[113.27080290196818,22.95707975717805],[113.27385286227943,22.956049737686886],[113.27499893362771,22.955804511391516],[113.27499893362771,22.958332764726357],[113.26777964237908,22.958332837849213]]]}"
000000000000000019d0,2609,7609,1299.19213867,7610,1299.19213867,6.94444444367E-5,0.0333333333315,1299.19213867,0.13668036296355124,0.006412905753876207,0.05581395348836666,0.0,0.0,0.0,0.0,1.0,0.0,0.12072409706475158,0.23891376381213172,0.00416666666652,"{""type"":""Polygon"",""coordinates"":[[[113.17470030733779,23.066666685483263],[113.17499911155164,23.066666622557463],[113.17499911155164,23.075000678240816],[113.17243955138801,23.075000751248208],[113.17251089021912,23.07456376463054],[113.17259558803241,23.074550350250878],[113.17246181637427,23.073761067226705],[113.17227460871338,23.07267310619237],[113.17217646098837,23.07185709531668],[113.17273390353888,23.07010909996785],[113.1744595735612,23.066969842900352],[113.17470030733779,23.066666685483263]]]}"
00000000000000000d5c,9205,7737,749.16333008,7738,749.163330078,6.94444444372E-5,0.0333333333316,749.163330078,0.3404646491272322,0.010511259325146146,0.0539295392954,0.0,0.0,0.0,0.0,1.0,0.0,0.11087900969994359,0.03722204603753938,1.75755138372E-4,"{""type"":""Polygon"",""coordinates"":[[[113.25000118500549,23.041664473337978],[113.25000118500549,23.04999853887418],[113.24166712820357,23.04999850396173],[113.24166712820357,23.045860511724168],[113.24388777213649,23.045713311768775],[113.24652749224745,23.046119122979896],[113.24996992657364,23.047207166036422],[113.24922526671067,23.041664503954124],[113.25000118500549,23.041664473337978]]]}"
00000000000000001bca,3043,7699,875.4418335,7700,875.441833496,6.94444444372E-5,0.0333333333316,875.441833496,0.0016430973506931267,0.0012520338613455188,0.02666666666666667,0.9285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.1696060507033079,0.04915250649929425,0.00416666666653,"{""type"":""Polygon"",""coordinates"":[[[113.22499898753047,23.049998511918375],[113.22499898753047,23.04512470401672],[113.22715716563843,23.045650941950086],[113.23089393307184,23.04606114075504],[113.2333330622074,23.046074569823745],[113.2333330622074,23.049998580520324],[113.22499898753047,23.049998511918375]]]}"
000000000000000001a0,6212,7567,1371.75048828,7568,1371.75048828,6.94444444382E-5,0.0333333333318,1371.75048828,0.46875147592150307,0.010648815175933284,0.06241057988018653,0.3932584269662922,0.0,0.0,0.6067415730337079,0.0,0.0,0.10300037235670657,0.0826200757700475,0.0041666666666,"{""type"":""Polygon"",""coordinates"":[[[113.19166724691699,23.083334762811756],[113.20000126025225,23.083334807507715],[113.20000126025225,23.086531919225678],[113.19847175813224,23.086661236482172],[113.19625115257882,23.086835152441136],[113.19612629102032,23.086835198231658],[113.19166724691699,23.08682178788543],[113.19166724691699,23.083334762811756]]]}"
000000000000000003d4,6770,8195,522.86462402,8196,522.864624023,6.94444444382E-5,0.0333333333318,522.864624023,0.04561636584615694,0.0034658208453118007,0.018518518518533332,0.5135135135135136,0.0,0.0,0.4864864864864865,0.0,0.0,0.054633393642284866,0.02987911099780779,0.00416666666645,"{""type"":""MultiPolygon"",""coordinates"":[[[[113.29112296085682,22.941664650105942],[113.29166704261482,22.940389385445577],[113.29166704261482,22.941664662400306],[113.29112296085682,22.941664650105942]]],[[[113.28475095665506,22.933335038524493],[113.29166704261482,22.93333505183495],[113.29166704261482,22.935983820466504],[113.29085101067513,22.93539517822339],[113.28475095665506,22.933335038524493]]]]}"
0000000000000000075e,8011,6533,1289.46508789,6534,1289.46508789,6.94444444382E-5,0.0333333333318,1289.46508789,0.0032040120654979205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07015981544617246,0.042859399578183084,0.00416666666646,"{""type"":""Polygon"",""coordinates"":[[[113.19355790027863,23.20833226536068],[113.19390122530868,23.20812718576131],[113.19682638786108,23.206642284935857],[113.19899801046488,23.204189833746458],[113.20000126025225,23.202593427972758],[113.20000126025225,23.20833231825309],[113.19355790027863,23.20833226536068]]]}"
00000000000000000ffe,21,7566,1298.83203125,7567,1298.83203125,6.94444444382E-5,0.0333333333318,1298.83203125,0.443237111391877,0.011376297941524002,0.07184834123223334,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.09798471289997848,0.13062162749417208,0.0041666666666,"{""type"":""Polygon"",""coordinates"":[[[113.18333313659514,23.083334757762824],[113.19166724691699,23.083334762811756],[113.19166724691699,23.08682178788543],[113.18944662023353,23.086817326194048],[113.18919244182645,23.086817321798033],[113.18796616833207,23.08633131430884],[113.18359622293201,23.0837806617098],[113.18333313659514,23.083593390978724],[113.18333313659514,23.083334757762824]]]}"
00000000000000001f90,4351,7028,1771.07946777,7029,1771.07946777,6.94444444382E-5,0.0333333333318,1771.07946777,0.12367950939487549,0.008907724967771433,0.05735148081079608,0.0,0.0,0.0,0.0,1.0,0.0,0.16490606355595386,0.026355289783074862,0.0041666666665,"{""type"":""Polygon"",""coordinates"":[[[113.19166724691699,23.149998316325625],[113.18333313659514,23.149998346124253],[113.18333313659514,23.147768761499602],[113.18455496507298,23.147389723894122],[113.18748007490193,23.147657351999566],[113.18888028481074,23.14946768783305],[113.19166724691699,23.149142224263986],[113.19166724691699,23.149998316325625]]]}"
00000000000000002192,4695,7029,2291.56738281,7030,2291.56738281,6.94444444382E-5,0.0333333333318,2291.56738281,0.045018356100808336,0.03261005792729558,0.22105263157893332,0.0,0.0,0.0,0.0,0.4666666666666667,0.5333333333333333,0.18011425629471647,0.029763960068375006,0.0041666666665,"{""type"":""Polygon"",""coordinates"":[[[113.20000126025225,23.149998324927214],[113.19166724691699,23.149998316325625],[113.19166724691699,23.149142224263986],[113.19571608338843,23.148669519012145],[113.20000126025225,23.147621668975347],[113.20000126025225,23.149998324927214]]]}"
000000000000000003b5,6648,7652,762.96722412,7653,762.967224121,6.94444444386E-5,0.0333333333319,762.967224121,0.47688362650193067,0.013570489214726535,0.0345945945946,0.0,0.0,0.0,0.0,1.0,0.0,0.11967357029940982,0.029120823168654515,0.00416666666638,"{""type"":""Polygon"",""coordinates"":[[[113.53333245153806,23.058332630323807],[113.53368022814264,23.058332634561612],[113.5347950374245,23.059451844363288],[113.53759086154129,23.06469130300002],[113.53835343928816,23.066666638133842],[113.53333245153806,23.066666686151123],[113.53333245153806,23.058332630323807]]]}"
0000000000000000097f,8517,7565,1286.08996582,7566,1286.08996582,6.94444444386E-5,0.0333333333319,1286.08996582,0.08781243169861624,0.00870661710213004,0.06324473975636508,0.0,0.0,0.0,0.0,0.47619047619047616,0.0,0.09824941343107614,0.22280654002182596,0.00416666666652,"{""type"":""Polygon"",""coordinates"":[[[113.17174397469739,23.079169993816496],[113.17243955138801,23.075000751248208],[113.17499911155164,23.075000678240816],[113.17499911155164,23.079963734826194],[113.17467358943675,23.0799592136048],[113.173219916029,23.080057383359808],[113.17258668203964,23.08010189867405],[113.17193118249526,23.079928001577965],[113.17181531359695,23.079709490467327],[113.17174397469739,23.079169993816496]]]}"
00000000000000001dd3,3561,8102,592.1015625,8103,592.1015625,6.94444444386E-5,0.0333333333319,592.1015625,0.021968967551285027,0.0022532362228124903,0.01832868496027911,1.0,0.0,0.0,0.0,0.0,0.0,0.06222739050322262,0.017479440795779205,0.00416666666639,"{""type"":""Polygon"",""coordinates"":[[[113.29166704261482,22.941664662400306],[113.29166704261482,22.949998760363076],[113.28540198910292,22.94999876293185],[113.2886036239845,22.946070243230448],[113.29060132160443,22.942890941448386],[113.29112296085682,22.941664650105942],[113.29166704261482,22.941664662400306]]]}"
000000000000000023aa,5113,8102,592.1015625,8103,592.1015625,6.94444444386E-5,0.0333333333319,592.1015625,0.1521991892305756,0.01767584237645055,0.03831477732793782,1.0,0.0,0.0,0.0,0.0,0.0,0.06515433691868816,0.020150139980547654,0.00416666666631,"{""type"":""Polygon"",""coordinates"":[[[113.27499893362771,22.955804511391516],[113.27750487328046,22.955269369570384],[113.27861522902406,22.95556371414708],[113.28010457486161,22.954934940317173],[113.28296286305529,22.952999710802022],[113.28333294857097,22.952544903467054],[113.28333294857097,22.95833278138399],[113.27499893362771,22.958332764726357],[113.27499893362771,22.955804511391516]]]}"
00000000000000000196,6135,7376,2456.33422852,7377,2456.33422852,6.94444444391E-5,0.0333333333321,2456.33422852,0.04917109986945757,0.01681884802584998,0.10636015325671852,0.0,0.0,0.0,0.0,1.0,0.0,0.1784277237520617,0.26051395009426076,0.00416666666646,"{""type"":""Polygon"",""coordinates"":[[[113.20000126025225,23.11666659998526],[113.19898010825928,23.116666574435694],[113.19902472746122,23.111841842477414],[113.20000126025225,23.11071365934937],[113.20000126025225,23.11666659998526]]]}"
00000000000000000b3a,8957,6862,1593.45996094,6863,1593.45996094,6.94444444391E-5,0.0333333333321,1593.45996094,0.17270217625166204,0.013171987349168851,0.13077101144659017,1.0,0.0,0.0,0.0,0.0,0.0,0.07502352798125454,0.02239216430162804,0.00416666666645,"{""type"":""Polygon"",""coordinates"":[[[113.18661057661639,23.166666425721175],[113.19166724691699,23.16666648365084],[113.19166724691699,23.17141093668767],[113.18743109295082,23.16756715911148],[113.18661057661639,23.166666425721175]]]}"
00000000000000001205,523,7655,1155.46191406,7656,1155.46191406,6.94444444391E-5,0.0333333333321,1155.46191406,0.27997812613349304,0.0060922318381537105,0.034888888888899995,0.0,0.0,0.0,0.0,1.0,0.0,0.10579348838876028,0.11489497020386667,0.00416666666645,"{""type"":""Polygon"",""coordinates"":[[[113.19166724691699,23.057957990448788],[113.197160805632,23.053984971679014],[113.20000126025225,23.050854654521792],[113.20000126025225,23.05833261755818],[113.19166724691699,23.058332580193188],[113.19166724691699,23.057957990448788]]]}"
00000000000000001206,759,7735,953.27069092,7736,953.270690918,6.94444444391E-5,0.0333333333321,953.270690918,0.14248277081948263,0.009098995273230315,0.04531435777336558,0.0,0.0,0.0,0.0,1.0,0.0,0.18853566583877654,0.07352809037414296,0.00416666666629,"{""type"":""Polygon"",""coordinates"":[[[113.20077714213528,23.049998530684775],[113.20255190742336,23.048045438881214],[113.20485273453897,23.04642684538627],[113.20601209631671,23.045967538173763],[113.20833535783622,23.045583989018265],[113.20833535783622,23.04999852110152],[113.20077714213528,23.049998530684775]]]}"
